key,value
id,trans_id
date,trans_date
amount,trans_amount
transactionType,trans_type
description,trans_desc
category_name,category_name
category_parentName,category_parent_name
accountRef_name,account_name
tagData_name,trans_tag
notes,trans_notes
isReviewed,is_reviewed
metaData_lastUpdatedDate,last_updated
parentId,trans_parent_id
fiData_amount,orig_amount
fiData_date,orig_date
fiData_description,orig_desc
accountRef_id,account_id
accountRef_type,account_type
category_id,category_id
category_parentId,category_parent_id
insert_ts,insert_ts
