Return Authorization Id,Tracking Id,RMA Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DZTl2prvRRMA,1Z18WF879005512550,2023-04-19T00:45:03Z,114-8207157-3505865,UPSDropOff,Not Available,
DrH04VrSRRMA,1Z9E78519018887879,2023-03-23T16:05:57Z,113-8975707-9823441,LabelLess_UPSDropOff,Not Available,
Dj5jk7rgRRMA,1Z17X7Y80398992353,2023-03-15T16:51:59Z,114-3756453-8594602,PackageLess_UPSDropOff,B14A28D2917842E3A351196A722D112F,
DtzghdJ6RRMA,1Z4718EE9053534459,2023-03-03T20:44:44Z,114-8768004-0809021,UPSDropOff,Not Available,
DkMJZrJNRRMA,1Z17X7Y80399800861,2023-02-22T01:37:27Z,114-0729131-1987423,PackageLess_UPSDropOff,AA52FAD31799468E8FAE25CFBF2F1089,
DK9R5MJ4RRMA,1Z17X7Y80392017551,2023-02-14T16:30:43Z,114-4224625-5739445,PackageLess_UPSDropOff,E854092E587E4933AB3E8CCF8A6D96EF,
DvzZgrJjRRMA,1Z17X7Y80392017551,2023-02-10T19:16:12Z,113-6359404-0517021,PackageLess_UPSDropOff,DvzZgrJjRRMA,
DKzsgcJmRRMA,1Z17X7Y80392017551,2023-02-10T19:03:36Z,114-2139354-2837003,PackageLess_UPSDropOff,2E025770D10249B690637F7B296F15FC,
DrTbjdxyRRMA,1Z907A370313760001,2022-09-16T23:19:44Z,114-6544471-8610656,PackageLess_UPSDropOff,Not Available,
DsLQZTRzRRMA,KOH1263334260,2022-02-19T15:24:17Z,113-5487935-8678627,Label_LabelLess_KohlsUSDropOff,Not Available,
DBz5qHRcRRMA,1ZW97V709057473509,2022-02-15T16:12:39Z,113-6267908-2466615,PackageLess_UPSDropOff,Not Available,
D7SGlMR6RRMA,KOH1248099115,2022-01-07T00:28:02Z,113-8830329-7814660,Label_LabelLess_KohlsUSDropOff,Not Available,
D5NDd9RFRRMA,1Z6V51519094682773,2021-12-23T22:27:44Z,113-0637508-7773867,LabelLess_UPSDropOff,Not Available,
DZQY4LR1RRMA,KOH1199202791,2021-08-14T21:19:36Z,114-9289728-9797025,Label_LabelLess_KohlsUSDropOff,Not Available,
Dp10sqpyRRMA,1Z6V51519043773145,2021-01-19T13:15:29Z,111-0647444-1965837,LabelLess_UPSDropOff,Not Available,
D21RsjpwRRMA,1Z7VY3850339877092,2021-01-19T13:14:57Z,111-0647444-1965837,PackageLess_UPSDropOff,Not Available,
DpjxD9p0RRMA,1Z6V51X69040469542,2020-12-12T12:21:48Z,111-5677342-6729010,UPSDropOff,Not Available,
D7jvDhp0RRMA,1Z7VY3850339877092,2020-12-12T12:20:01Z,111-6525532-4133063,PackageLess_UPSDropOff,Not Available,
DvWZ4Lp7RRMA,1Z7VY3850307487046,2020-11-04T16:08:48Z,111-8249073-4128211,PackageLess_UPSDropOff,Not Available,
DYRLTLn4RRMA,Not Available,2020-04-14T03:59:14Z,114-3184624-5564223,CustomSellerOption,Not Available,
DTrwsnn5RRMA,1Z6V51X49063004290,2020-01-14T18:52:09Z,111-5643226-2379441,UPSDropOff,Not Available,
D2FHHMntRRMA,1Z6V52A70390155539,2019-09-30T15:39:23Z,114-1512868-0865816,PackageLess_UPSDropOff,Not Available,
DLRycsq6RRMA,1Z7F750V9073821752,2018-06-06T22:56:03Z,111-2119818-9858619,UPSDropOff,Not Available,
DkvDyTqZRRMA,1Z7F750V9003518060,2018-02-08T13:29:53Z,111-3515274-9550650,UPSDropOff,Not Available,
DqvmmfPYRRMA,1Z3Y519A9002688244,2016-12-20T19:05:44Z,002-8442813-6235404,UPSDropOff,Not Available,
DfSxmYPtRRMA,1Z300FV99000587523,2016-12-20T16:24:53Z,108-6448747-8971415,LabelLess_UPSDropOff,Not Available,
DjQSSvPxRRMA,1Z9X00849031334473,2016-10-02T20:34:37Z,002-6483824-3616250,UPSDropOff,Not Available,
DYhjSVPzRRMA,1Z9X00849030689860,2016-10-01T04:27:24Z,002-6483824-3616250,UPSDropOff,Not Available,
