"OrderID","ReversalID","RefundCompletionDate","Currency","AmountRefunded","Status","DisbursementType"
"113-8975707-9823441","VKLazLO8Slm69PTDBGpSsg","03/26/2023 15:10:38 UTC","USD","720.79","Completed","Refund"
"114-3756453-8594602","XFe7sSD2SuiEXrT3yblhIQ","03/23/2023 20:33:12 UTC","USD","246.98","Completed","Refund"
"114-8768004-0809021","4ly4aUIzQe2ib3Z8Uvlhww","03/23/2023 18:50:19 UTC","USD","75.79","Completed","Refund"
"114-0729131-1987423","kLNkizezSemwqm/Lc/DU0g","02/22/2023 20:57:49 UTC","USD","132.49","Completed","Refund"
"113-6359404-0517021","wVp2ihxxRNqK/1xm1xDOUA","02/14/2023 19:48:24 UTC","USD","127.19","Completed","Refund"
"114-4224625-5739445","hOD1zqHlR9ulQGbJmhcM7Q","02/14/2023 19:32:50 UTC","USD","61.43","Completed","Refund"
"114-2139354-2837003","jH+29KXQQE26txsXlYQulA","02/14/2023 17:32:05 UTC","USD","159.74","Completed","Refund"
"114-6544471-8610656","'+fQUgsQHQnO/RB8uuM8k4g'","09/22/2022 15:18:32 UTC","USD","36.99","Completed","Refund"
"111-0753089-8617848","ST3bd5AjSVi7vNKi2UUheA","06/16/2022 23:01:45 UTC","USD","18.42","Completed","Refund"
"113-8433501-2215424","X3LPuxVRRQuBuZryQrWcWg","02/10/2022 17:21:41 UTC","USD","19.07","Completed","Refund"
"113-9634611-3578610","80dMsRHiROymYoWXbl+dvw","01/11/2022 21:34:08 UTC","USD","423.76","Completed","Refund"
"112-1433426-4743408","ZYktFyGKQEyOlBztJDum4A","10/06/2021 18:55:30 UTC","USD","57.53","Completed","Refund"
"114-9289728-9797025","1ZCQeWIuRiCftSoKA9BX5Q","08/24/2021 20:39:08 UTC","USD","180.19","Completed","Refund"
"111-0647444-1965837","nkTWPsoBS76SS1ESk08oBQ","01/23/2021 03:16:03 UTC","USD","105.95","Completed","Refund"
"111-6525532-4133063","yWWHNJUgQZCB4dd78Bb73g","01/23/2021 00:11:40 UTC","USD","19.07","Completed","Refund"
"111-5677342-6729010","nFBtWZcQQyWBGB/HNpubPw","01/22/2021 23:08:19 UTC","USD","24.79","Completed","Refund"
"111-0647444-1965837","JWOp4fjrSHSybpbzl1griw","01/22/2021 22:42:32 UTC","USD","23.31","Completed","Refund"
"111-8249073-4128211","12ovG8t4So+jw+JoH26LfQ","11/25/2020 15:45:55 UTC","USD","11.94","Completed","Refund"
"113-8894604-9890623","KENjz9VHT0yHp2ugKQGZjg","10/31/2019 02:11:16 UTC","USD","18.95","Completed","Refund"
"111-7209463-0068263","e3VYkWKbQwiSqqgBFmZM6A","08/26/2018 02:04:59 UTC","USD","36.62","Completed","Refund"
"111-2119818-9858619","8L6u/ym5TNGUan7dX6JLdA","06/09/2018 06:02:41 UTC","USD","20.99","Completed","Refund"
"111-3515274-9550650","V2ksBPcLSCS1AAMRaWXkvg","02/12/2018 23:54:56 UTC","USD","31.54","Completed","Refund"
"113-6593395-2011451","HjCCdyc8Q5S/6Q7B6Gdnag","02/09/2018 00:05:19 UTC","USD","7.99","Completed","Refund"
"112-9736388-3345014","3BGa81I0QvqjK9QubUmP2g","06/12/2017 17:49:16 UTC","USD","10.09","Completed","Refund"
"108-6448747-8971415","SDWpULXmTc6/bOgaqlHtYQ","12/21/2016 02:39:22 UTC","USD","85.99","Completed","Refund"
"112-7108998-4672244","OvrROpy8RguH0/67lg7R6g","07/27/2016 04:31:39 UTC","USD","19.99","Completed","Refund"
"104-9055699-3410637","wiHqPX7oQCWo6cIfcJW9Lg","06/04/2010 22:41:16 UTC","USD","181.27","Completed","Refund"
"102-8140802-0981002","Uxp2AEfIRsy3uRqjjug/9g","01/30/2009 18:37:46 UTC","USD","30.48","Completed","Refund"
"104-0355083-3988216","4WuMZ8CbTba5iKjIA67IXw","08/18/2008 16:25:05 UTC","USD","12.98","Completed","Refund"
